work_year,job_title,job_category,employee_residence,experience_level,employment_type,work_setting,company_location,company_size,salary_in_euros,cost_of_living,purchasing_power,job_field
2023,Data DevOps Engineer,Data Engineering,Germany,2,4,2,Germany,3,87411,127.47,685.74,Data Engineering
2023,Data Architect,Data Architecture and Modeling,United States,3,4,3,United States,2,171120,143.34,1193.8,Data Engineering
2023,Data Architect,Data Architecture and Modeling,United States,3,4,3,United States,2,75256,143.34,525.02,Data Engineering
2023,Data Scientist,Data Science and Research,United States,3,4,3,United States,2,195040,143.34,1360.68,Data Science
2023,Data Scientist,Data Science and Research,United States,3,4,3,United States,2,85836,143.34,598.83,Data Science
2023,Data Scientist,Data Science and Research,United States,3,4,1,United States,2,119600,143.34,834.38,Data Science
2023,Data Scientist,Data Science and Research,United States,3,4,1,United States,2,92000,143.34,641.83,Data Science
2023,Machine Learning Researcher,Machine Learning and AI,United States,2,4,3,United States,2,206448,143.34,1440.27,Data Science
2023,Machine Learning Researcher,Machine Learning and AI,United States,2,4,3,United States,2,127604,143.34,890.22,Data Science
2023,Data Engineer,Data Engineering,United States,4,4,1,United States,2,193200,143.34,1347.84,Data Engineering
2023,Data Engineer,Data Engineering,United States,4,4,1,United States,2,154560,143.34,1078.28,Data Engineering
2023,Machine Learning Engineer,Machine Learning and AI,United States,3,4,3,United States,2,206448,143.34,1440.27,Data Science
2023,Machine Learning Engineer,Machine Learning and AI,United States,3,4,3,United States,2,127604,143.34,890.22,Data Science
2023,Data Scientist,Data Science and Research,United Kingdom,2,4,3,United Kingdom,2,39618,144.03,275.07,Data Science
2023,Data Scientist,Data Science and Research,United Kingdom,2,4,3,United Kingdom,2,33959,144.03,235.78,Data Science
2023,Data Analyst,Data Analysis,United States,1,4,3,United States,2,87400,143.34,609.74,Data Analysis
2023,Data Analyst,Data Analysis,United States,1,4,3,United States,2,69000,143.34,481.37,Data Analysis
2023,Data Scientist,Data Science and Research,United States,3,4,3,United States,2,276000,143.34,1925.49,Data Science
2023,Data Scientist,Data Science and Research,United States,3,4,3,United States,2,215280,143.34,1501.88,Data Science
2023,Analytics Engineer,Leadership and Management,United States,2,4,3,United States,2,128800,143.34,898.56,Data Engineering
2023,Analytics Engineer,Leadership and Management,United States,2,4,3,United States,2,110400,143.34,770.2,Data Engineering
2023,Machine Learning Engineer,Machine Learning and AI,United States,2,4,3,United States,2,188140,143.34,1312.54,Data Science
2023,Machine Learning Engineer,Machine Learning and AI,United States,2,4,3,United States,2,130824,143.34,912.68,Data Science
2023,Data Analyst,Data Analysis,United States,2,4,3,United States,2,142600,143.34,994.84,Data Analysis
2023,Data Analyst,Data Analysis,United States,2,4,3,United States,2,101200,143.34,706.01,Data Analysis
2023,Machine Learning Engineer,Machine Learning and AI,United States,3,4,3,United States,2,245180,143.34,1710.48,Data Science
2023,Machine Learning Engineer,Machine Learning and AI,United States,3,4,3,United States,2,139840,143.34,975.58,Data Science
2023,Applied Scientist,Data Science and Research,United States,2,4,3,United States,3,204424,143.34,1426.15,Data Science
2023,Applied Scientist,Data Science and Research,United States,2,4,3,United States,3,125120,143.34,872.89,Data Science
2023,Machine Learning Engineer,Machine Learning and AI,United States,3,4,3,United States,2,251528,143.34,1754.76,Data Science
2023,Machine Learning Engineer,Machine Learning and AI,United States,3,4,3,United States,2,167624,143.34,1169.42,Data Science
2023,BI Developer,BI and Visualization,United States,3,4,3,United States,2,154100,143.34,1075.07,Data Analysis
2023,BI Developer,BI and Visualization,United States,3,4,3,United States,2,97980,143.34,683.55,Data Analysis
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,171028,143.34,1193.16,Data Engineering
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,118956,143.34,829.89,Data Engineering
2023,Business Intelligence Engineer,BI and Visualization,United States,2,4,3,United States,3,170200,143.34,1187.39,Data Analysis
2023,Business Intelligence Engineer,BI and Visualization,United States,2,4,3,United States,3,73232,143.34,510.9,Data Analysis
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,112240,143.34,783.03,Data Engineering
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,86940,143.34,606.53,Data Engineering
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,227516,143.34,1587.25,Data Engineering
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,128524,143.34,896.64,Data Engineering
2023,Data Analyst,Data Analysis,United States,3,4,3,United States,2,161920,143.34,1129.62,Data Analysis
2023,Data Analyst,Data Analysis,United States,3,4,3,United States,2,92000,143.34,641.83,Data Analysis
2023,Machine Learning Engineer,Machine Learning and AI,United States,3,4,3,United States,2,188140,143.34,1312.54,Data Science
2023,Machine Learning Engineer,Machine Learning and AI,United States,3,4,3,United States,2,130824,143.34,912.68,Data Science
2023,Research Scientist,Data Science and Research,United States,3,4,3,United States,3,227792,143.34,1589.17,Data Science
2023,Research Scientist,Data Science and Research,United States,3,4,3,United States,3,117116,143.34,817.05,Data Science
2023,Data Scientist,Data Science and Research,United States,3,4,1,United States,2,205528,143.34,1433.85,Data Science
2023,Data Scientist,Data Science and Research,United States,3,4,1,United States,2,171304,143.34,1195.09,Data Science
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,154100,143.34,1075.07,Data Engineering
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,97980,143.34,683.55,Data Engineering
2023,Data Scientist,Data Science and Research,United States,3,4,3,United States,2,171028,143.34,1193.16,Data Science
2023,Data Scientist,Data Science and Research,United States,3,4,3,United States,2,118956,143.34,829.89,Data Science
2023,Research Analyst,Data Science and Research,United States,1,4,1,United States,2,66240,143.34,462.12,Data Science
2023,Research Analyst,Data Science and Research,United States,1,4,1,United States,2,58880,143.34,410.77,Data Science
2023,Analytics Engineer,Leadership and Management,United States,3,4,3,United States,2,165434,143.34,1154.14,Data Engineering
2023,Analytics Engineer,Leadership and Management,United States,3,4,3,United States,2,132351,143.34,923.34,Data Engineering
2023,Research Scientist,Data Science and Research,United States,3,4,3,United States,2,260406,143.34,1816.7,Data Science
2023,Research Scientist,Data Science and Research,United States,3,4,3,United States,2,173604,143.34,1211.13,Data Science
2023,Data Engineer,Data Engineering,United States,2,4,3,United States,2,122360,143.34,853.63,Data Engineering
2023,Data Engineer,Data Engineering,United States,2,4,3,United States,2,53728,143.34,374.83,Data Engineering
2023,Research Engineer,Data Science and Research,United States,3,4,3,United States,2,129994,143.34,906.89,Data Science
2023,Research Engineer,Data Science and Research,United States,3,4,3,United States,2,106358,143.34,742.0,Data Science
2023,Data Analyst,Data Analysis,United States,1,4,3,United States,2,92000,143.34,641.83,Data Analysis
2023,Machine Learning Engineer,Machine Learning and AI,Canada,3,4,3,Canada,2,245180,142.12,1725.16,Data Science
2023,Machine Learning Engineer,Machine Learning and AI,Canada,3,4,3,Canada,2,132848,142.12,934.76,Data Science
2023,Data Engineer,Data Engineering,United Kingdom,3,4,3,United Kingdom,2,65653,144.03,455.83,Data Engineering
2023,Data Engineer,Data Engineering,United Kingdom,3,4,3,United Kingdom,2,50938,144.03,353.66,Data Engineering
2023,Research Scientist,Data Science and Research,United States,3,4,3,United States,2,264500,143.34,1845.26,Data Science
2023,Research Scientist,Data Science and Research,United States,3,4,3,United States,2,143520,143.34,1001.26,Data Science
2023,Data Analyst,Data Analysis,United States,2,4,1,United States,2,82800,143.34,577.65,Data Analysis
2023,Data Analyst,Data Analysis,United States,2,4,1,United States,2,64400,143.34,449.28,Data Analysis
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,183080,143.34,1277.24,Data Engineering
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,149040,143.34,1039.77,Data Engineering
2023,Data Engineer,Data Engineering,United States,2,4,1,United States,2,157213,143.34,1096.78,Data Engineering
2023,Data Engineer,Data Engineering,United States,2,4,1,United States,2,104809,143.34,731.19,Data Engineering
2023,Data Engineer,Data Engineering,United States,2,4,3,United States,2,169280,143.34,1180.97,Data Engineering
2023,Data Engineer,Data Engineering,United States,2,4,3,United States,2,113160,143.34,789.45,Data Engineering
2023,Data Scientist,Data Science and Research,United States,3,4,3,United States,2,216890,143.34,1513.12,Data Science
2023,Data Scientist,Data Science and Research,United States,3,4,3,United States,2,160310,143.34,1118.39,Data Science
2023,Research Scientist,Data Science and Research,United States,2,4,1,United States,2,151800,143.34,1059.02,Data Science
2023,Research Scientist,Data Science and Research,United States,2,4,1,United States,2,109296,143.34,762.49,Data Science
2023,Data Engineer,Data Engineering,United States,3,4,1,United States,2,207000,143.34,1444.12,Data Engineering
2023,Data Engineer,Data Engineering,United States,3,4,1,United States,2,138000,143.34,962.75,Data Engineering
2023,Machine Learning Engineer,Machine Learning and AI,United States,2,4,3,United States,2,196788,143.34,1372.88,Data Science
2023,Machine Learning Engineer,Machine Learning and AI,United States,2,4,3,United States,2,107456,143.34,749.66,Data Science
2023,Data Scientist,Data Science and Research,United States,3,4,1,United States,2,202400,143.34,1412.03,Data Science
2023,Data Scientist,Data Science and Research,United States,3,4,1,United States,2,138000,143.34,962.75,Data Science
2023,Data Scientist,Data Science and Research,United States,2,4,3,United States,2,138000,143.34,962.75,Data Science
2023,Data Scientist,Data Science and Research,United States,2,4,3,United States,2,92000,143.34,641.83,Data Science
2023,Machine Learning Engineer,Machine Learning and AI,United States,2,4,3,United States,2,227700,143.34,1588.53,Data Science
2023,Machine Learning Engineer,Machine Learning and AI,United States,2,4,3,United States,2,158424,143.34,1105.23,Data Science
2023,Data Engineer,Data Engineering,United States,2,4,3,United States,2,142600,143.34,994.84,Data Engineering
2023,Data Engineer,Data Engineering,United States,2,4,3,United States,2,110400,143.34,770.2,Data Engineering
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,208564,143.34,1455.03,Data Engineering
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,122636,143.34,855.56,Data Engineering
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,169280,143.34,1180.97,Data Engineering
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,113160,143.34,789.45,Data Engineering
2023,Data Scientist,Data Science and Research,United States,3,4,3,United States,2,119600,143.34,834.38,Data Science
2023,Data Scientist,Data Science and Research,United States,3,4,3,United States,2,107640,143.34,750.94,Data Science
2023,Data Science Engineer,Data Science and Research,United States,3,4,1,United States,2,147200,143.34,1026.93,Data Science
2023,Data Science Engineer,Data Science and Research,United States,3,4,1,United States,2,128800,143.34,898.56,Data Science
2023,Data Scientist,Data Science and Research,United States,2,4,3,United States,2,152720,143.34,1065.44,Data Science
2023,Data Scientist,Data Science and Research,United States,2,4,3,United States,2,67160,143.34,468.54,Data Science
2023,Data Scientist,Data Science and Research,United States,3,4,1,United States,2,171028,143.34,1193.16,Data Science
2023,Data Scientist,Data Science and Research,United States,3,4,1,United States,2,118956,143.34,829.89,Data Science
2023,Data Engineer,Data Engineering,United States,2,4,3,United States,2,119600,143.34,834.38,Data Engineering
2023,Data Engineer,Data Engineering,United States,2,4,3,United States,2,95680,143.34,667.5,Data Engineering
2023,Data Engineer,Data Engineering,United States,3,4,1,United States,2,131560,143.34,917.82,Data Engineering
2023,Data Engineer,Data Engineering,United States,3,4,1,United States,2,106720,143.34,744.52,Data Engineering
2023,Research Scientist,Data Science and Research,United States,2,4,3,United States,2,202400,143.34,1412.03,Data Science
2023,Research Scientist,Data Science and Research,United States,2,4,3,United States,2,165600,143.34,1155.3,Data Science
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,197800,143.34,1379.94,Data Engineering
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,184000,143.34,1283.66,Data Engineering
2023,Data Scientist,Data Science and Research,United States,2,4,3,United States,2,232760,143.34,1623.83,Data Science
2023,Data Scientist,Data Science and Research,United States,2,4,3,United States,2,120520,143.34,840.8,Data Science
2023,Machine Learning Engineer,Machine Learning and AI,United States,3,4,3,United States,2,202400,143.34,1412.03,Data Science
2023,Machine Learning Engineer,Machine Learning and AI,United States,3,4,3,United States,2,161920,143.34,1129.62,Data Science
2023,Data Quality Analyst,Data Quality and Operations,United Kingdom,1,4,1,United Kingdom,2,45278,144.03,314.37,Data Engineering
2023,Data Quality Analyst,Data Quality and Operations,United Kingdom,1,4,1,United Kingdom,2,33959,144.03,235.78,Data Engineering
2023,Data Scientist,Data Science and Research,United States,3,4,3,United States,2,193200,143.34,1347.84,Data Science
2023,Data Scientist,Data Science and Research,United States,3,4,3,United States,2,135240,143.34,943.49,Data Science
2023,Data Product Manager,Leadership and Management,United States,2,4,3,United States,2,171120,143.34,1193.8,Other
2023,Data Product Manager,Leadership and Management,United States,2,4,3,United States,2,148120,143.34,1033.35,Other
2023,Machine Learning Engineer,Machine Learning and AI,United States,3,4,3,United States,2,188600,143.34,1315.75,Data Science
2023,Data Engineer,Data Engineering,Canada,2,4,1,Canada,2,202400,142.12,1424.15,Data Engineering
2023,Data Engineer,Data Engineering,Canada,2,4,1,Canada,2,174800,142.12,1229.95,Data Engineering
2023,Data Analyst,Data Analysis,United States,3,4,1,United States,2,126040,143.34,879.31,Data Analysis
2023,Data Analyst,Data Analysis,United States,3,4,1,United States,2,101200,143.34,706.01,Data Analysis
2023,Data Scientist,Data Science and Research,United States,3,4,1,United States,2,158240,143.34,1103.95,Data Science
2023,Data Scientist,Data Science and Research,United States,3,4,1,United States,2,134320,143.34,937.07,Data Science
2023,Data Engineer,Data Engineering,United States,2,4,3,United States,2,136160,143.34,949.91,Data Engineering
2023,Data Engineer,Data Engineering,United States,2,4,3,United States,2,91080,143.34,635.41,Data Engineering
2023,Data Scientist,Data Science and Research,United States,3,4,3,United States,2,138000,143.34,962.75,Data Science
2023,Data Analyst,Data Analysis,United States,1,4,3,United States,2,96600,143.34,673.92,Data Analysis
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,91080,143.34,635.41,Data Engineering
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,48300,143.34,336.96,Data Engineering
2023,Machine Learning Scientist,Machine Learning and AI,United States,3,4,1,United States,2,166072,143.34,1158.59,Data Science
2023,Machine Learning Scientist,Machine Learning and AI,United States,3,4,1,United States,2,99643,143.34,695.15,Data Science
