work_year,job_title,job_category,employee_residence,experience_level,employment_type,work_setting,company_location,company_size,salary_in_euros
2023,Data DevOps Engineer,Data Engineering,Germany,Mid-level,Full-time,Hybrid,Germany,L,87411
2023,Data Architect,Data Architecture and Modeling,United States,Senior,Full-time,In-person,United States,M,171120
2023,Data Architect,Data Architecture and Modeling,United States,Senior,Full-time,In-person,United States,M,75256
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,195040
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,85836
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,Remote,United States,M,119600
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,Remote,United States,M,92000
2023,Machine Learning Researcher,Machine Learning and AI,United States,Mid-level,Full-time,In-person,United States,M,206448
2023,Machine Learning Researcher,Machine Learning and AI,United States,Mid-level,Full-time,In-person,United States,M,127604
2023,Data Engineer,Data Engineering,United States,Executive,Full-time,Remote,United States,M,193200
2023,Data Engineer,Data Engineering,United States,Executive,Full-time,Remote,United States,M,154560
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,206448
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,127604
2023,Data Scientist,Data Science and Research,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,39618
2023,Data Scientist,Data Science and Research,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,33959
2023,Data Analyst,Data Analysis,United States,Entry-level,Full-time,In-person,United States,M,87400
2023,Data Analyst,Data Analysis,United States,Entry-level,Full-time,In-person,United States,M,69000
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,276000
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,In-person,United States,M,215280
2023,Analytics Engineer,Leadership and Management,United States,Mid-level,Full-time,In-person,United States,M,128800
2023,Analytics Engineer,Leadership and Management,United States,Mid-level,Full-time,In-person,United States,M,110400
2023,Machine Learning Engineer,Machine Learning and AI,United States,Mid-level,Full-time,In-person,United States,M,188140
2023,Machine Learning Engineer,Machine Learning and AI,United States,Mid-level,Full-time,In-person,United States,M,130824
2023,Data Analyst,Data Analysis,United States,Mid-level,Full-time,In-person,United States,M,142600
2023,Data Analyst,Data Analysis,United States,Mid-level,Full-time,In-person,United States,M,101200
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,245180
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,139840
2023,Applied Scientist,Data Science and Research,United States,Mid-level,Full-time,In-person,United States,L,204424
2023,Applied Scientist,Data Science and Research,United States,Mid-level,Full-time,In-person,United States,L,125120
