Year,Month,Dom_Pax,Int_Pax,Pax,Dom_Flt,Int_Flt,Flt,Dom_RPM,Int_RPM,RPM,Dom_ASM,Int_ASM,ASM,Dom_LF,Int_LF,LF
2003,1,"43,032,450","4,905,830","47,938,280","785,160","57,667","842,827","36,211,422","12,885,980","49,097,402","56,191,300","17,968,572","74,159,872",64.44,71.71,66.20
2003,2,"41,166,780","4,245,366","45,412,146","690,351","51,259","741,610","34,148,439","10,715,468","44,863,907","50,088,434","15,587,880","65,676,314",68.18,68.74,68.31
2003,3,"49,992,700","5,008,613","55,001,313","797,194","58,926","856,120","41,774,564","12,567,068","54,341,633","57,592,901","17,753,174","75,346,075",72.53,70.79,72.12
2003,4,"47,033,260","4,345,444","51,378,704","766,260","55,005","821,265","39,465,980","10,370,592","49,836,572","54,639,679","15,528,761","70,168,440",72.23,66.78,71.02
2003,5,"49,152,352","4,610,834","53,763,186","789,397","55,265","844,662","41,001,934","11,575,026","52,576,960","55,349,897","15,629,821","70,979,718",74.08,74.06,74.07
2003,6,"52,209,516","5,411,504","57,621,020","798,351","58,225","856,576","44,492,972","13,918,185","58,411,157","56,555,517","17,191,579","73,747,096",78.67,80.96,79.20
2003,7,"55,810,773","6,191,120","62,001,893","831,619","62,957","894,576","48,321,924","15,516,794","63,838,718","59,617,048","18,701,759","78,318,807",81.05,82.97,81.51
2003,8,"53,920,973","6,272,332","60,193,305","830,737","63,760","894,497","46,982,527","15,906,430","62,888,957","59,634,190","19,144,885","78,779,075",78.78,83.08,79.83
2003,9,"44,213,408","4,824,596","49,038,004","781,804","54,017","835,821","36,819,820","13,570,889","50,390,709","54,973,852","17,820,478","72,794,329",66.98,76.15,69.22
2003,10,"49,944,931","4,920,822","54,865,753","818,308","54,272","872,580","41,480,412","13,447,446","54,927,858","58,001,020","17,694,417","75,695,437",71.52,76.00,72.56
2003,11,"47,059,495","4,845,759","51,905,254","765,842","53,817","819,659","39,333,528","12,817,176","52,150,704","55,785,892","16,801,272","72,587,163",70.51,76.29,71.85
2003,12,"49,757,124","5,358,991","55,116,115","798,392","57,578","855,970","42,699,596","13,929,565","56,629,161","58,842,551","17,648,530","76,491,081",72.57,78.93,74.03
2004,1,"43,815,481","5,255,246","49,070,727","787,237","58,293","845,530","38,114,607","13,515,639","51,630,246","58,306,593","17,988,081","76,294,673",65.37,75.14,67.67
2004,2,"45,306,597","4,941,629","50,248,226","761,618","55,822","817,440","38,575,084","12,153,432","50,728,516","56,180,696","16,923,112","73,103,808",68.66,71.82,69.39
2004,3,"54,147,227","5,805,703","59,952,930","834,476","60,649","895,125","46,507,739","14,735,428","61,243,168","61,833,579","18,362,220","80,195,799",75.21,80.25,76.37
2004,4,"53,253,194","5,664,027","58,917,221","817,899","60,455","878,354","45,795,662","14,338,191","60,133,853","60,067,863","18,457,525","78,525,388",76.24,77.68,76.58
2004,5,"53,030,873","5,767,517","58,798,390","833,350","62,596","895,946","45,350,262","15,388,457","60,738,719","60,923,099","19,844,360","80,767,459",74.44,77.55,75.20
2004,6,"56,959,142","6,405,771","63,364,913","836,916","64,256","901,172","49,774,219","17,006,831","66,781,050","61,629,864","20,355,959","81,985,822",80.76,83.55,81.45
2004,7,"59,614,287","7,183,275","66,797,562","871,049","69,890","940,939","52,730,292","18,182,782","70,913,074","64,095,669","21,731,193","85,826,863",82.27,83.67,82.62
2004,8,"57,380,873","6,986,797","64,367,670","882,979","68,332","951,311","50,816,430","17,760,431","68,576,861","64,479,721","21,640,665","86,120,386",78.81,82.07,79.63
2004,9,"47,671,785","5,396,245","53,068,030","819,294","56,541","875,835","40,644,161","15,247,819","55,891,980","57,694,884","19,502,122","77,197,006",70.45,78.19,72.40
2004,10,"54,167,489","5,629,964","59,797,453","861,291","58,659","919,950","45,765,588","15,384,002","61,149,590","61,604,719","19,883,889","81,488,607",74.29,77.37,75.04
2004,11,"51,781,700","5,384,214","57,165,914","820,048","58,312","878,360","43,561,708","14,118,725","57,680,434","59,431,353","18,848,375","78,279,728",73.30,74.91,73.69
2004,12,"52,639,838","6,041,853","58,681,691","836,232","63,469","899,701","45,181,080","15,523,403","60,704,483","62,054,841","20,254,013","82,308,853",72.81,76.64,73.75
2005,1,"47,977,657","6,158,509","54,136,166","807,338","64,803","872,141","41,609,095","15,580,719","57,189,815","59,580,514","20,571,388","80,151,902",69.84,75.74,71.35
2005,2,"47,074,882","5,499,590","52,574,472","760,955","59,351","820,306","40,114,944","13,470,430","53,585,374","55,964,342","18,651,403","74,615,745",71.68,72.22,71.82
2005,3,"58,838,975","6,964,313","65,803,288","866,593","68,802","935,395","50,789,921","17,293,704","68,083,625","63,743,171","21,201,138","84,944,309",79.68,81.57,80.15
2005,4,"54,908,859","6,388,741","61,297,600","838,122","66,430","904,552","47,002,623","16,218,686","63,221,309","61,262,216","20,990,887","82,253,103",76.72,77.27,76.86
2005,5,"57,323,876","6,575,254","63,899,130","872,961","68,225","941,186","49,016,422","17,394,296","66,410,718","63,160,148","21,943,039","85,103,187",77.61,79.27,78.04
2005,6,"59,724,061","7,123,126","66,847,187","863,422","69,814","933,236","52,181,786","18,750,411","70,932,197","63,378,463","22,373,102","85,751,565",82.33,83.81,82.72
2005,7,"62,396,446","7,867,346","70,263,792","887,084","74,818","961,902","55,290,372","20,037,449","75,327,821","65,813,398","23,792,009","89,605,407",84.01,84.22,84.07
2005,8,"59,110,633","7,419,187","66,529,820","890,938","73,164","964,102","52,510,003","19,205,090","71,715,093","65,309,256","23,418,626","88,727,882",80.40,82.01,80.83
2005,9,"50,600,325","5,933,841","56,534,166","814,935","61,812","876,747","43,524,915","16,631,990","60,156,904","58,674,828","21,425,051","80,099,879",74.18,77.63,75.10
2005,10,"53,738,093","5,873,755","59,611,848","831,265","61,017","892,282","45,895,538","16,089,364","61,984,902","60,392,331","21,033,727","81,426,057",76.00,76.49,76.12
2005,11,"52,766,404","5,644,497","58,410,901","797,460","59,265","856,725","45,109,831","14,771,787","59,881,618","58,886,853","19,401,869","78,288,722",76.60,76.14,76.49
2005,12,"52,801,276","6,395,022","59,196,298","802,067","65,240","867,307","46,190,194","16,339,078","62,529,273","60,889,086","21,153,995","82,043,081",75.86,77.24,76.22
2006,1,"48,886,043","6,402,933","55,288,976","785,364","66,236","851,600","42,966,268","16,157,877","59,124,144","59,096,204","21,396,430","80,492,634",72.71,75.52,73.45
2006,2,"47,348,142","5,706,909","53,055,051","715,843","60,661","776,504","40,927,215","13,913,445","54,840,660","53,733,108","19,241,787","72,974,894",76.17,72.31,75.15
2006,3,"58,286,011","7,221,839","65,507,850","823,793","70,264","894,057","50,693,391","18,095,206","68,788,597","62,257,065","22,367,092","84,624,157",81.43,80.90,81.29
2006,4,"55,828,555","7,036,629","62,865,184","794,390","68,537","862,927","48,800,883","17,685,346","66,486,229","59,917,615","22,246,457","82,164,072",81.45,79.50,80.92
2006,5,"57,145,193","6,997,054","64,142,247","824,051","68,676","892,727","49,302,219","18,465,819","67,768,038","61,284,297","23,102,699","84,386,996",80.45,79.93,80.31
2006,6,"59,297,121","7,625,061","66,922,182","820,310","71,424","891,734","52,200,272","20,275,368","72,475,640","61,692,651","23,821,736","85,514,388",84.61,85.11,84.75
2006,7,"60,838,606","8,340,003","69,178,609","852,114","76,301","928,415","54,506,446","21,510,904","76,017,350","64,111,164","25,185,579","89,296,743",85.02,85.41,85.13
2006,8,"58,303,233","7,843,848","66,147,081","866,551","74,735","941,286","52,074,386","20,342,613","72,416,999","64,332,983","24,888,446","89,221,429",80.95,81.74,81.17
2006,9,"49,949,551","6,189,973","56,139,524","799,777","62,710","862,487","43,108,587","17,537,122","60,645,709","58,383,462","22,579,257","80,962,719",73.84,77.67,74.91
2006,10,"55,088,983","6,281,017","61,370,000","828,218","63,105","891,323","47,137,132","17,365,868","64,503,000","60,802,722","22,654,609","83,457,331",77.52,76.65,77.29
2006,11,"53,852,209","6,173,261","60,025,470","792,523","61,823","854,346","45,966,808","16,115,237","62,082,045","58,912,308","20,821,119","79,733,427",78.03,77.40,77.86
2006,12,"53,538,970","6,917,055","60,456,025","805,058","68,978","874,036","46,835,639","17,704,637","64,540,276","61,161,328","22,721,069","83,882,396",76.58,77.92,76.94
2007,1,"50,022,168","6,854,636","56,876,804","803,924","69,634","873,558","43,823,680","17,450,335","61,274,015","60,618,488","22,960,840","83,579,327",72.29,76.00,73.31
2007,2,"47,766,421","6,078,593","53,845,014","724,657","62,711","787,368","41,270,274","15,087,982","56,358,256","54,490,060","20,624,609","75,114,669",75.74,73.16,75.03
2007,3,"59,244,232","7,647,510","66,891,742","830,373","72,367","902,740","51,518,429","19,346,351","70,864,780","63,131,522","23,667,344","86,798,866",81.60,81.74,81.64
2007,4,"57,396,328","7,233,785","64,630,113","809,663","70,037","879,700","49,772,604","18,462,964","68,235,568","61,124,424","23,325,666","84,450,090",81.43,79.15,80.80
2007,5,"59,283,597","7,244,944","66,528,541","844,074","70,437","914,511","51,031,835","19,341,759","70,373,594","62,774,346","24,370,452","87,144,798",81.29,79.37,80.75
2007,6,"61,493,934","7,953,495","69,447,429","832,163","72,797","904,960","54,018,698","21,325,672","75,344,370","62,620,840","25,295,941","87,916,781",86.26,84.30,85.70
2007,7,"63,457,403","8,696,119","72,153,522","863,658","77,533","941,191","56,572,990","22,709,269","79,282,259","65,566,709","26,624,388","92,191,098",86.28,85.29,86.00
2007,8,"62,657,667","8,429,481","71,087,148","872,349","76,818","949,167","55,682,567","22,060,730","77,743,296","65,556,234","26,525,647","92,081,881",84.94,83.17,84.43
2007,9,"52,308,015","6,665,909","58,973,924","805,066","64,283","869,349","45,240,419","18,994,703","64,235,122","59,796,275","23,883,235","83,679,510",75.66,79.53,76.76
2007,10,"57,206,249","6,734,727","63,940,976","841,179","64,536","905,715","49,069,269","18,762,030","67,831,299","62,497,723","23,713,623","86,211,346",78.51,79.12,78.68
2007,11,"55,044,206","6,616,131","61,660,337","804,635","64,236","868,871","47,256,388","17,508,412","64,764,800","60,801,594","22,421,800","83,223,395",77.72,78.09,77.82
2007,12,"53,288,538","7,302,494","60,591,032","803,981","70,325","874,306","47,070,645","19,121,625","66,192,270","62,270,682","24,391,947","86,662,629",75.59,78.39,76.38
2008,1,"50,245,100","7,214,702","57,459,802","793,275","70,805","864,080","44,233,383","18,682,398","62,915,780","60,635,551","24,474,296","85,109,847",72.95,76.33,73.92
2008,2,"50,118,363","6,691,283","56,809,646","746,679","66,402","813,081","43,429,251","16,602,844","60,032,096","57,170,275","22,832,413","80,002,688",75.96,72.72,75.04
2008,3,"59,213,077","8,257,253","67,470,330","817,511","74,449","891,960","52,016,986","20,818,061","72,835,047","63,249,344","25,295,113","88,544,457",82.24,82.30,82.26
2008,4,"55,611,053","7,361,463","62,972,516","799,664","70,840","870,504","48,189,445","19,238,317","67,427,762","60,127,860","24,913,253","85,041,112",80.14,77.22,79.29
2008,5,"58,047,400","7,747,506","65,794,906","820,114","71,787","891,901","50,259,912","20,972,031","71,231,943","61,778,284","26,236,332","88,014,616",81.36,79.94,80.93
2008,6,"59,559,171","8,168,145","67,727,316","815,914","72,783","888,697","52,521,309","22,207,049","74,728,358","62,328,392","26,758,910","89,087,301",84.27,82.99,83.88
2008,7,"61,401,480","8,831,861","70,233,341","844,737","77,244","921,981","54,621,353","23,555,952","78,177,305","64,884,624","28,113,326","92,997,950",84.18,83.79,84.06
2008,8,"58,966,473","8,629,543","67,596,016","823,517","75,242","898,759","52,643,145","23,162,473","75,805,618","63,117,937","27,931,634","91,049,571",83.40,82.93,83.26
2008,9,"47,680,001","6,327,854","54,007,855","728,377","59,708","788,085","41,015,589","18,737,440","59,753,028","53,906,431","24,055,799","77,962,230",76.09,77.89,76.64
2008,10,"52,956,023","6,473,043","59,429,066","758,538","60,997","819,535","44,913,078","18,507,570","63,420,648","56,299,337","23,804,966","80,104,304",79.78,77.75,79.17
2008,11,"47,658,141","6,167,102","53,825,243","707,246","60,687","767,933","40,578,576","16,552,513","57,131,088","53,450,483","22,297,823","75,748,306",75.92,74.23,75.42
2008,12,"50,253,658","6,881,238","57,134,896","720,062","65,422","785,484","43,824,845","18,277,979","62,102,823","55,361,168","23,773,025","79,134,193",79.16,76.89,78.48
2009,1,"44,821,711","6,737,730","51,559,441","709,933","66,971","776,904","39,299,677","17,528,664","56,828,341","53,952,827","23,989,981","77,942,808",72.84,73.07,72.91
2009,2,"43,677,233","5,970,396","49,647,629","659,899","61,219","721,118","37,640,543","14,607,464","52,248,007","49,969,299","21,295,607","71,264,906",75.33,68.59,73.32
