"country","NumbeoCoL2023","NumbeoCoLPlusRent2023","costOfLivingLC","costOfLivingByCountry_cl_expatistan","costOfLivingByCountry_cl_globalEcon","NumbeoLocalPurchasingPowerIndex2023"
"India",22.9,14.6,423,59,42.86,61.7
"China",36.5,26.6,752,115,87.94,58.2
"United States",74.2,61,1951,187,143.34,117.7
"Indonesia",30.8,20.5,548,79,54.52,24.7
"Pakistan",17.6,10.7,370,,45.2,22
"Nigeria",23.2,20,916,,52.55,9.4
"Brazil",37.7,23.9,601,83,104.54,28
"Bangladesh",26.2,15.1,521,68,52.6,26.2
"Russia",32.1,21.3,656,116,61.96,40.2
"Ethiopia",42.3,30.3,574,,51.03,11
"Mexico",42.4,29.1,678,85,74.69,39.9
"Japan",54.3,36.9,1370,147,144.44,94.3
"Philippines",35.9,23.1,601,92,55.15,21
"Egypt",21.7,13.1,449,65,27.37,17.4
"DR Congo",,,748,,61.73,
"Vietnam",34.5,23.2,639,85,50.03,30.3
"Iran",28.4,20.1,668,,60.16,21.6
"Turkey",27.1,18.2,447,59,64.7,32.5
"Germany",66,46.5,1414,146,127.47,100.2
"Thailand",38.5,26.2,831,93,56.12,31.7
"Tanzania",28.9,19.4,760,66,48.53,20
"United Kingdom",63.6,48.1,1929,184,144.03,94.3
"France",69.1,47.4,1519,142,135.27,81.5
"South Africa",34.5,23.8,974,95,70.41,78.1
"Italy",61,41.3,1359,129,124.24,63.8
"Kenya",28.9,18.5,654,84,57.71,31
"Myanmar",33.4,25.8,864,,41.08,18.5
"Colombia",27.6,18.3,574,66,68.94,27.9
"South Korea",69.2,44.5,1154,139,123.53,83.5
"Uganda",31.3,20.3,604,97,48.47,12.8
"Sudan",,,517,,38.29,
"Spain",49.9,36.1,1260,115,113.82,83.6
"Iraq",32.6,21.3,710,,63.39,39.2
"Algeria",28.6,16.9,431,,49.36,24.5
"Argentina",30.3,19.3,494,,93.54,33.9
"Afghanistan",,,354,,,
"Poland",44.7,32.3,882,82,70.08,59.9
"Canada",68,51.7,1701,176,142.12,90.9
"Morocco",30.1,19.4,644,76,63.47,31.2
