course title,course url,course description,Ratings,reviews,duration,Lectures,course level,instructors
Machine Learning A-Z™: Hands-On Python & R In Data Science,https://www.udemy.com/course/machinelearning/,Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,Rating: 4.6 out of 5,161655 reviews,44.5 total hours,320 lectures,All Levels,"Kirill Eremenko, Hadelin de Ponteves, Ligency I Team, Ligency Team"
Python for Data Science and Machine Learning Bootcamp,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",Rating: 4.6 out of 5,119789 reviews,25 total hours,165 lectures,All Levels,Jose Portilla
The Data Science Course 2022: Complete Data Science Bootcamp,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,"Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning",Rating: 4.6 out of 5,111891 reviews,32 total hours,517 lectures,All Levels,"365 Careers, 365 Careers Team"
R Programming A-Z™: R For Data Science With Real Exercises!,https://www.udemy.com/course/r-programming/,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2",Rating: 4.7 out of 5,47444 reviews,10.5 total hours,83 lectures,All Levels,"Kirill Eremenko, Ligency I Team, Ligency Team"
Deep Learning A-Z™: Hands-On Artificial Neural Networks,https://www.udemy.com/course/deeplearning/,Learn to create Deep Learning Algorithms in Python from two Machine Learning & Data Science experts. Templates included.,Rating: 4.6 out of 5,40993 reviews,22.5 total hours,174 lectures,All Levels,"Kirill Eremenko, Hadelin de Ponteves, Ligency I Team, Ligency Team"
Statistics for Data Science and Business Analysis,https://www.udemy.com/course/statistics-for-data-science-and-business-analysis/,"Statistics you need in the office: Descriptive & Inferential statistics, Hypothesis testing, Regression analysis",Rating: 4.6 out of 5,32896 reviews,5 total hours,92 lectures,All Levels,"365 Careers, 365 Careers Team"
Data Science A-Z™: Real-Life Data Science Exercises Included,https://www.udemy.com/course/datascience/,"Learn Data Science step by step through real Analytics examples. Data Mining, Modeling, Tableau Visualization and more!",Rating: 4.6 out of 5,32151 reviews,21.5 total hours,219 lectures,All Levels,"Kirill Eremenko, Ligency I Team, Ligency Team"
"Machine Learning, Data Science and Deep Learning with Python",https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,"Complete hands-on machine learning tutorial with data science, Tensorflow, artificial intelligence, and neural networks",Rating: 4.5 out of 5,27730 reviews,15.5 total hours,115 lectures,Beginner,"Sundog Education by Frank Kane, Frank Kane, Sundog Education Team"
Python A-Z™: Python For Data Science With Real Exercises!,https://www.udemy.com/course/python-coding/,"Programming In Python For Data Analytics And Data Science. Learn Statistical Analysis, Data Mining And Visualization",Rating: 4.6 out of 5,24660 reviews,11 total hours,76 lectures,All Levels,"Kirill Eremenko, Ligency I Team, Ligency Team"
Artificial Intelligence A-Z™: Learn How To Build An AI,https://www.udemy.com/course/artificial-intelligence-az/,"Combine the power of Data Science, Machine Learning and Deep Learning to create powerful AI for Real-World applications!",Rating: 4.4 out of 5,21407 reviews,17 total hours,130 lectures,All Levels,"Hadelin de Ponteves, Kirill Eremenko, Ligency I Team, Luka Anicin, Ligency Team, Jordan Sauchuk"
Spark and Python for Big Data with PySpark,https://www.udemy.com/course/spark-and-python-for-big-data-with-pyspark/,"Learn how to use Spark with Python, including Spark Streaming, Machine Learning, Spark 2.0 DataFrames and more!",Rating: 4.5 out of 5,19311 reviews,10.5 total hours,67 lectures,Intermediate,Jose Portilla
Data Analysis with Pandas and Python,https://www.udemy.com/course/data-analysis-with-pandas/,Analyze data quickly and easily with Python's powerful pandas library! All datasets included --- beginners welcome!,Rating: 4.7 out of 5,17591 reviews,22 total hours,206 lectures,All Levels,Boris Paskhaver
Complete Guide to TensorFlow for Deep Learning with Python,https://www.udemy.com/course/complete-guide-to-tensorflow-for-deep-learning-with-python/,Learn how to use Google's Deep Learning Framework - TensorFlow with Python! Solve problems with cutting edge techniques!,Rating: 4.4 out of 5,16502 reviews,14 total hours,96 lectures,Intermediate,Jose Portilla
